ubigeo,mujer,no_seguro_salud,discapacitados,lengua_originaria,sin_nivel_educ,primaria,secundaria,superior_nouniv_incom,superior_nouniv_com,superior_univ_incom,superior_univ_com,posgrado,relig_catolica,relig_ninguna,relig_cristiana,edad_0_17_porc,edad_18_35_porc,edad_36_60_porc,edad_60_mas_porc,viv_agua_porc,viv_elec_proc,viv_desag_proc,nombredd,nombrepv,nombredi,D_pobreza,D_pobrezaex,D_gini,D_pob_crim,paltitud1,paltitud2,paltitud3,paltitud4,paltitud5,paltitud6,paltitud7,paltitud8,paltitud9,altitud,dept,prov,dist
100104,51.343151,8.4017973,6.4855962,70.394493,25.770174,39.688568,21.037481,0.50301176,0.28072175,0.51446277,0.74039578,0.02677466,52.2892,0.54801428,22.002556,0.38621569,0.2199745,0.2462668,0.1102744,20.419006,54.729012,7.6210718,HUÁNUCO,HUÁNUCO,CHURUBAMBA,72.099998,37.599998,0.30000001,21,0,0,0,1,0,0,0,0,0,4227,HUANUCO,HUANUCO,CHURUBAMBA
100105,51.80423,4.2352881,6.348474,71.748741,16.10025,40.366764,30.927616,0.93662202,0.86260301,0.73638439,1.4056557,0.18938281,57.089207,0.092267573,21.077141,0.35334551,0.1741522,0.27268559,0.1629239,38.279472,40.73737,20.027309,HUÁNUCO,HUÁNUCO,MARGOS,70.900002,32.700001,0.30000001,3,0,0,0,0,1,0,0,0,0,4239,HUANUCO,HUANUCO,MARGOS
100106,50.11491,6.6293621,9.3513451,27.591749,16.901018,40.35202,29.204466,0.818205,0.76183701,0.43099517,0.79977638,0.060616791,59.382675,0.34039083,15.435885,0.38024911,0.1922965,0.26093251,0.129163,32.444168,31.20347,10.235732,HUÁNUCO,HUÁNUCO,QUISQUI (KICHKI),50.5,16.4,0.30000001,6,0,0,0,1,0,0,0,0,0,3945,HUANUCO,HUANUCO,QUISQUI (KICHKI)
100107,49.279449,16.48138,9.4077959,16.766151,18.115479,32.924107,31.582266,2.0297017,1.8219013,1.7183472,2.7494256,0.1044113,58.784641,0.29567781,18.499493,0.31933999,0.2314119,0.2719298,0.1432749,11.842105,43.11404,5.6578946,HUÁNUCO,HUÁNUCO,SAN FRANCISCO DE CAYRAN,38.799999,11.4,0.30000001,6,0,0,1,0,0,0,0,0,0,3592,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN
100108,50.687328,4.1470518,3.8032651,72.476959,19.629595,45.543335,20.808641,0.14330524,0.60108036,0.18187094,0.68700373,0,55.032413,0.3930997,15.155754,0.4220151,0.1767659,0.22947291,0.14342061,20.467836,32.383041,13.377193,HUÁNUCO,HUÁNUCO,SAN PEDRO DE CHAULAN,73.099998,35.400002,0.30000001,8,0,0,0,0,1,0,0,0,0,4493,HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN
100109,50.437359,8.4140968,8.8162966,57.380482,21.331751,38.480431,25.033007,1.5158447,0.90141082,1.2095606,1.2936807,0.064357452,59.59269,0.89113253,16.626892,0.36221781,0.2492978,0.238011,0.109071,35.129227,53.465351,11.739745,HUÁNUCO,HUÁNUCO,SANTA MARIA DEL VALLE,63.799999,28.5,0.30000001,35,0,0,1,0,0,0,0,0,0,4357,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE
100110,50.839211,3.713721,7.3611412,44.908764,14.951314,42.043304,30.092518,0.45411322,0.32094899,0.46404782,1.2296709,0.067765132,57.810337,1.6345624,15.177597,0.39223301,0.1864078,0.244013,0.1514563,40.337078,41.348309,16.404495,HUÁNUCO,HUÁNUCO,YARUMAYO,51.400002,17.4,0.30000001,4,0,0,0,1,0,0,0,0,0,3878,HUANUCO,HUANUCO,YARUMAYO
100111,47.750992,27.63019,9.9757404,17.23744,4.9904604,21.470255,31.592291,3.3534701,5.5680099,8.7627325,12.825726,1.5252198,54.48698,3.6036234,21.680817,0.29761741,0.31765479,0.2672874,0.077114403,49.418129,67.898705,55.892475,HUÁNUCO,HUÁNUCO,PILLCO MARCA,15,2.2,0.30000001,50,0,0,1,0,0,0,0,0,0,3856,HUANUCO,HUANUCO,PILLCO MARCA
100112,50.634129,2.9087739,4.045229,92.971931,12.86314,37.754768,38.523579,0.69677174,0.37440726,0.54700482,0.69072372,0,66.799255,0.036936648,12.669207,0.3393127,0.228852,0.27152571,0.1174471,47.324413,80.044594,32.497211,HUÁNUCO,HUÁNUCO,YACUS,65.099998,30.700001,0.30000001,0,0,0,0,1,0,0,0,0,0,3977,HUANUCO,HUANUCO,YACUS
100113,49.43454,22.81035,7.5859179,18.204603,14.918404,46.166672,22.835629,0.65230292,0.38433653,0.66080642,0.39857939,0.02393999,47.180386,1.5096208,23.138775,0.40227541,0.2464671,0.22467069,0.084790401,30.821474,45.924969,12.742561,HUÁNUCO,HUÁNUCO,SAN PABLO DE PILLAO,59.5,21.4,0.30000001,0,,,,,,,,,,,HUANUCO,HUANUCO,SAN PABLO DE PILLAO
100201,51.0928,18.87538,7.7811742,28.010244,10.435858,35.399513,28.326818,2.9028933,3.9946024,2.8031569,4.0575624,0.39063838,50.743355,2.1686392,22.746304,0.36421531,0.2473906,0.23642629,0.1106004,47.013607,52.860378,41.267643,HUÁNUCO,AMBO,AMBO,50.5,19.4,0.40000001,35,0,0,1,0,0,0,0,0,0,4206,HUANUCO,AMBO,AMBO
100202,50.948502,7.9466019,5.0195599,59.29734,18.021852,44.227558,25.853882,0.64605892,0.56950217,0.32753381,0.8547349,0,54.909931,0.2366374,20.726681,0.36131099,0.1918465,0.26019189,0.15507589,21.834686,19.063551,6.7845197,HUÁNUCO,AMBO,CAYNA,64.400002,25.6,0.30000001,1,0,0,0,0,1,0,0,0,0,4742,HUANUCO,AMBO,CAYNA
100203,54.585079,3.8242691,7.4166989,85.605507,18.522196,42.382248,23.888517,0.69093072,0.40157411,0.40717399,1.3969119,0.1137408,49.320641,0.79517442,24.547741,0.39399189,0.1426921,0.26805311,0.1704217,13.53001,36.724312,8.7487288,HUÁNUCO,AMBO,COLPAS,60.700001,22,0.30000001,0,0,0,0,1,0,0,0,0,0,4250,HUANUCO,AMBO,COLPAS
100204,49.896729,15.96016,12.84764,7.401051,17.143763,37.668663,28.81061,1.552595,1.9031945,1.066457,2.3761988,0.045311552,58.977081,0.69502962,18.174965,0.32650301,0.22742631,0.27651429,0.1387075,46.020599,43.53933,18.726591,HUÁNUCO,AMBO,CONCHAMARCA,44.099998,12.6,0.30000001,1,0,0,1,0,0,0,0,0,0,3967,HUANUCO,AMBO,CONCHAMARCA
100205,49.652222,15.90254,8.6218777,17.270924,16.419987,43.492168,24.173285,1.4148362,1.9129713,1.0877706,2.1350071,0.1060599,63.315773,0.27047029,17.389229,0.2772184,0.2139885,0.2447308,0.2299637,38.249233,43.016449,17.953722,HUÁNUCO,AMBO,HUACAR,52,19.1,0.30000001,15,0,0,1,0,0,0,0,0,0,4051,HUANUCO,AMBO,HUACAR
100206,48.752991,4.8331599,18.93096,28.327278,12.728845,41.328682,30.42557,1.1499741,1.3486174,0.58449262,0.44928259,0.12604401,53.427017,0.25740749,24.939594,0.34849459,0.21076231,0.2491992,0.15566941,48.699764,47.044918,32.269505,HUÁNUCO,AMBO,SAN FRANCISCO,65.300003,33.099998,0.40000001,1,0,0,0,1,0,0,0,0,0,4184,HUANUCO,AMBO,SAN FRANCISCO
