,id_hdv,part_rec,party_memb,party_ocup,party_start,party_end
226,0-53-1,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIO DE ORGANIZACIÓN DEL PARTIDO APRISTA PERUANO ,2014 ,2017 
227,0-53-1,2,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIO GENERAL DEL DISTRITO DE YANACANCHA ,2009 ,2012 
228,0-53-2,1, , , , 
229,0-53-3,1, , , , 
230,0-54-1,1, , , , 
231,0-54-4,1,PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC ,SECRETARIA REGIONAL DE JUVENTUDES ,2001 ,2001 
232,0-54-5,1,PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC ,SECRETARIO GENERAL REGIONAL DE AREQUIPA ,2000 ,2005 
233,0-54-6,1, , , , 
234,0-55-3,1, , , , 
235,0-55-4,1, , , , 
236,0-56-1,1,ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL CONTIGO BELEN ,FUNDADOR ,2002 ,2016 
237,0-56-2,1, , , , 
238,0-57-2,1, , , , 
239,0-57-3,1, , , , 
240,0-58-1,1,OTRO ,SECRETARIO GENERAL ,2019 ,HASTA LA ACTUALIDAD
241,0-58-1,2,PARTIDO POLÍTICO RENACIMIENTO UNIDO NACIONAL ,SECRETARIO GENERAL ,2007 ,2010 
242,0-58-2,1, , , , 
243,0-58-3,1, , , , 
244,0-59-2,1, , , , 
245,0-59-3,1,PARTIDO POLÍTICO PERU POSIBLE ,AFILIADO ,2007 ,2012 
246,0-60-1,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIO REGIONAL DEL PARTIDO MORADO ,2018 ,HASTA LA ACTUALIDAD
247,0-60-2,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIO REGIONAL DE PLAN DE GOBIERNO LORETO ,2019 ,2019 
248,0-60-3,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIA REGIONAL DE PRO MUJER LORETO ,2019 ,HASTA LA ACTUALIDAD
249,0-60-4,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIA REGIONAL DE JOVENES MORADOS ,2019 ,HASTA LA ACTUALIDAD
250,0-61-2,1, , , , 
251,0-61-3,1, , , , 
252,0-61-4,1, , , , 
253,0-62-1,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIA GENERAL REGIONAL ,2019 ,HASTA LA ACTUALIDAD
254,0-62-1,2,PARTIDO POLÍTICO PARTIDO POR LA DEMOCRACIA SOCIAL - COMPROMISO PERU ,MIEMBRO DE LA ASAMBLEA NACIONAL ,2005 ,2007 
255,0-63-1,1,PARTIDO POLÍTICO PARTIDO MORADO ,FUNDADOR ,2017 ,HASTA LA ACTUALIDAD
