,id_hdv,posi_rec,prev_pos_pres,prev_pos_vice1,prev_pos_vice2,prev_pos_co,prev_pos_par_an,prev_pos_gob,prev_pos_gob_vice,prev_pos_alc_prov,prev_pos_reg_prov,prev_pos_alc_dist,prev_pos_reg_dist,prev_pos_con_reg,prev_pos_acc,prev_pos_reg_cp,prev_pos_dip,prev_pos_sen,prev_pos_alc_cp,prev_org_pol,prev_start,prev_end
204,0-44-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
205,0-45-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
206,0-45-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
207,0-45-3,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL UCAYALI REGION CON FUTURO ,2011 ,2014 
208,0-46-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
209,0-46-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
210,0-46-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
211,0-46-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
212,0-46-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
213,0-47-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
214,0-47-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
215,0-47-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
216,0-48-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
217,0-48-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
218,0-48-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
219,0-48-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
220,0-49-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
221,0-50-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
222,0-50-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
223,0-50-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
224,0-51-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
225,0-51-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
226,0-51-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
227,0-52-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
228,0-52-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
229,0-53-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
