,id_hdv,vehi_rec,veh_type,veh_brand,veh_model,veh_year,veh_reg,veh_char,veh_val
239,0-43-1,1,CAMIONETA ,TOYOTA ,RAV4 ,2013 ,F3V030 ,COLOR NEGRO METALICO ,40000.00 
240,0-43-2,1, , , , , , , 
241,0-43-3,1, , , , , , , 
242,0-44-1,1, , , , , , , 
243,0-44-2,1,AUTOMOVIL ,GREAT WALL ,VOLEEX C30 ,2017 ,P3A 460 ,COLOR PLATA ,32760.00 
244,0-44-3,1,MOTO LINEAL ,HONDA ,CGF 150 ,2010 ,M2-4469 ,COLOR NEGRO ,3000.00 
245,0-44-4,1, , , , , , , 
246,0-44-5,1, , , , , , , 
247,0-45-1,1,CAMIONETA ,RENAULT ,OROCH ,2018 ,AVL 859 ,COLOR GRIS ,53000.00 
248,0-45-1,2,MOTO LINEAL ,ZONGHEN ,SPEX 150 ,2018 ,0612CS ,COLOR NEGRO ,4300.00 
249,0-45-1,3,MOTO LINEAL ,HONDA ,CGL125 ,2011 ,U11929 ,COLOR ROJO ,2000.00 
250,0-45-2,1,MOTOCICLETA ,YAMAHA ,XTZ125 ,2013 ,1168-3U ,COLOR BLANCO ,7000.00 
251,0-45-3,1,MOTOKAR ,HONDA ,CCG125 ,2014 ,08474U ,TRIMOVIL COLOR AZUL ,4000.00 
252,0-46-1,1,SEDAN ,CHERY ,FULWIN ,2012 ,V2V 215 ,COLOR ROJO ,15000.00 
253,0-46-2,1,AUTO ,TOYOTA ,COROLLA ,1988 ,DH 2736 ,COLOR BLANCO ,11550.00 
254,0-46-4,1,CAMIONETA RURAL ,HYUNDAI ,MATRIX ,2005 ,RUN - 485 ,MULTIPROPOSITO ,21700.00 
255,0-46-5,1, , , , , , , 
256,0-47-1,1, , , , , , , 
257,0-47-2,1,CAMIONETA ,TOYOTA ,FORTUNER ,2017 ,W3W-167 ,GRIS OSCURO METALICO ,150149.70 
258,0-47-3,1,CAMIONETA ,MITSUBICHI ,L200 4X4 ,2012 ,ADD-780 ,PLATA ACERO ,35000.00 
259,0-48-1,1, , , , , , , 
260,0-48-2,1,MOTOCICLETA ,MAVILA ,ARES ,2016 ,4817-6L ,NEGRO ,3100.00 
261,0-48-3,1,MOTOCICLETA ,HONDA ,ELITE ,2018 ,19368L ,NEGRO ,7000.00 
262,0-48-4,1, , , , , , , 
263,0-49-1,1, , , , , , , 
264,0-50-1,1, , , , , , , 
265,0-50-2,1, , , , , , , 
266,0-50-3,1, , , , , , , 
267,0-51-1,1, , , , , , , 
268,0-51-2,1,CARRO ,SUZUKI ,GRAND NOMADE ,2014 ,AEM374 ,AZUL ,30000.00 
269,0-51-3,1, , , , , , , 
270,0-52-1,1,CAMIONETA ,SUZUKI ,GRAND VITARA ,2008 ,ROX-827 ,NEGRO ,64258.00 
271,0-52-2,1, , , , , , , 
272,0-53-1,1, , , , , , , 
273,0-53-2,1, , , , , , , 
274,0-53-3,1, , , , , , , 
275,0-54-1,1,CAMIONETA ,SUBARU ,OUTBACK ,2011 ,B5B-351 ,COLOR GRIS PLATA ,43680.00 
276,0-54-1,2,CAMIONETA ,LEXUS ,RHF5 ,2017 ,V80-613 ,COLOR GRIS PLATA ,162288.00 
277,0-54-4,1,AUTOMOVIL ,GEELY ,CK ,2014 ,V5U190 ,COLOR PLOMO OSCURO ,29250.00 
278,0-54-5,1,AUTOMOVIL ,NISSAN ,1984 ,1984 ,AZ-6013 ,AUTOMOVIL COLOR BLANCO. REGULAR ESTADO ,5000.00 
279,0-54-5,2,AUTOMOVIL ,HYUNDAI ,ACENT ,1995 ,CH-9187 ,AUTOMOVIL COLOR VERDE - REGULAR ESTADO ,15000.00 
280,0-54-6,1,AUTOMOVIL ,HYUNDAI ,I10 ,2011 ,V36-688 ,AUTOMOVIL DE COLOR BLANCO. ,15000.00 
281,0-55-3,1, , , , , , , 
282,0-55-4,1, , , , , , , 
283,0-56-1,1,MINIBUS ,BAW-INCAPAWER ,CONMUTER ,2011 ,BOR-032 ,BLANCO ,10000.00 
284,0-56-1,2,MINIBUS ,BAW-INCAPAWER ,CONMUTER ,2011 ,00 ,BLANCO ,10000.00 
285,0-56-1,3,MINIBUS ,BAW-INCAPAWER ,CINMUTER ,2011 ,00 ,BLANCO ,10000.00 
286,0-56-1,4,CAMIONETA ,BAW-INCAPAWER ,DESTROYER ,2011 ,00 ,ROJO ,15000.00 
287,0-56-2,1,VEH. AUT. MENOR - MOTOCICLETA ,LIFAN ,LF100-11 ,2006 ,L1-3127 ,COLOR ROJO ,1200.00 
288,0-56-2,2,VEH. AUT. MENOR - MOTOCICLETA ,HONDA ,WAVW 110 ,2014 ,6322-3L ,COLOR NEGRO ,4500.00 
289,0-57-2,1, , , , , , , 
290,0-57-3,1,CAMIONETA ,KIA SPORTAGE 2015 ,KIA ,2015 ,P2I 492 ,NEGRO ,66000.00 
291,0-57-3,2,MOTOCICLETA ,HONDA 2000 ,HONDA ,2006 ,P44509 MA3494 ,P44509 MA3494 ,1000.00 
292,0-57-3,3,MOTOCICLETA ,SUNSHINE ,CHINA ,2013 ,YUS200GY ,67322M AZUL ,1000.00 
293,0-58-1,1, , , , , , , 
294,0-58-2,1, , , , , , , 
295,0-58-3,1, , , , , , , 
296,0-59-2,1, , , , , , , 
297,0-59-3,1, , , , , , , 
298,0-60-1,1,VEHÍCULO MENOR ,YAMAHA ,XTZ 125 ,2012 ,L44319 ,COLOR AZUL ,10400.00 
299,0-60-2,1,VEHÍCULO MENOR ,HONDA ,CBF150 ,2010 ,L30302 ,COLOR ROJO ,6000.00 
300,0-60-3,1, , , , , , , 
301,0-60-4,1,VEHÍCULO MENOR ,LIFAN ,LF125T ,2018 ,97087L ,COLOR NEGRO ,4000.00 
302,0-61-2,1,MOTOCICLETA ,HONDA ,XR-150 ,2017 ,4231-AS ,ROJO ,7900.00 
303,0-61-3,1, , , , , , , 
304,0-61-4,1, , , , , , , 
305,0-62-1,1, , , , , , , 
306,0-63-1,1, , , , , , , 
307,0-63-2,1, , , , , , , 
308,0-63-3,1,CAMIONETA SUV ,LIFAN ,X60 ,2013 ,V5E-100 ,COLOR BLANCO ,30000.00 
